alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.0001,100,l2,Train,0.41,0.34,0.17,0.46,0.39,0.24,0.34,0.44,0.46,0.17
0.0001,100,l2,Test,0.26,0.17,0.14,0.34,0.34,0.2,0.23,0.26,0.17,0.14
0.0001,100,l1,Train,0.17,0.38,0.47,0.32,0.41,0.42,0.45,0.4,0.32,0.55
0.0001,100,l1,Test,0.14,0.26,0.23,0.23,0.23,0.14,0.26,0.31,0.2,0.31
0.0001,100,elasticnet,Train,0.25,0.46,0.17,0.28,0.22,0.2,0.27,0.23,0.23,0.44
0.0001,100,elasticnet,Test,0.14,0.34,0.14,0.23,0.2,0.14,0.17,0.23,0.23,0.31
0.0001,500,l2,Train,0.3,0.34,0.41,0.36,0.23,0.25,0.16,0.25,0.24,0.5
0.0001,500,l2,Test,0.23,0.2,0.26,0.23,0.23,0.11,0.14,0.14,0.2,0.29
0.0001,500,l1,Train,0.47,0.24,0.24,0.42,0.3,0.46,0.47,0.56,0.35,0.3
0.0001,500,l1,Test,0.26,0.17,0.23,0.14,0.29,0.2,0.26,0.23,0.26,0.26
0.0001,500,elasticnet,Train,0.27,0.31,0.27,0.26,0.33,0.4,0.5,0.33,0.14,0.32
0.0001,500,elasticnet,Test,0.2,0.2,0.29,0.23,0.14,0.2,0.31,0.23,0.14,0.2
0.0001,1000,l2,Train,0.24,0.16,0.15,0.19,0.2,0.17,0.4,0.17,0.24,0.44
0.0001,1000,l2,Test,0.17,0.14,0.14,0.2,0.2,0.14,0.29,0.17,0.2,0.11
0.0001,1000,l1,Train,0.39,0.55,0.22,0.37,0.33,0.55,0.35,0.41,0.28,0.19
0.0001,1000,l1,Test,0.26,0.26,0.17,0.31,0.26,0.31,0.29,0.23,0.2,0.14
0.0001,1000,elasticnet,Train,0.34,0.19,0.43,0.44,0.4,0.26,0.47,0.44,0.16,0.33
0.0001,1000,elasticnet,Test,0.23,0.17,0.29,0.26,0.2,0.09,0.37,0.23,0.14,0.23
0.001,100,l2,Train,0.14,0.25,0.29,0.14,0.15,0.23,0.24,0.24,0.15,0.22
0.001,100,l2,Test,0.14,0.14,0.23,0.14,0.14,0.11,0.14,0.2,0.14,0.17
0.001,100,l1,Train,0.3,0.49,0.36,0.47,0.33,0.35,0.34,0.36,0.38,0.29
0.001,100,l1,Test,0.2,0.29,0.26,0.37,0.2,0.26,0.31,0.2,0.14,0.14
0.001,100,elasticnet,Train,0.27,0.23,0.15,0.14,0.17,0.28,0.14,0.17,0.14,0.18
0.001,100,elasticnet,Test,0.23,0.2,0.14,0.14,0.14,0.2,0.14,0.14,0.14,0.17
0.001,500,l2,Train,0.15,0.2,0.16,0.15,0.14,0.15,0.14,0.15,0.17,0.16
0.001,500,l2,Test,0.14,0.17,0.17,0.14,0.14,0.14,0.14,0.14,0.17,0.14
0.001,500,l1,Train,0.45,0.27,0.34,0.24,0.36,0.4,0.51,0.23,0.44,0.39
0.001,500,l1,Test,0.2,0.17,0.2,0.23,0.34,0.26,0.26,0.17,0.26,0.37
0.001,500,elasticnet,Train,0.14,0.29,0.15,0.17,0.18,0.24,0.22,0.2,0.23,0.27
0.001,500,elasticnet,Test,0.14,0.23,0.17,0.14,0.11,0.17,0.14,0.14,0.2,0.23
0.001,1000,l2,Train,0.14,0.19,0.24,0.29,0.24,0.2,0.14,0.14,0.14,0.16
0.001,1000,l2,Test,0.14,0.17,0.23,0.31,0.23,0.14,0.14,0.14,0.14,0.14
0.001,1000,l1,Train,0.35,0.21,0.15,0.41,0.31,0.34,0.37,0.31,0.27,0.46
0.001,1000,l1,Test,0.2,0.17,0.14,0.26,0.23,0.23,0.23,0.23,0.2,0.2
0.001,1000,elasticnet,Train,0.14,0.15,0.2,0.2,0.19,0.23,0.14,0.15,0.17,0.26
0.001,1000,elasticnet,Test,0.14,0.14,0.17,0.29,0.17,0.14,0.14,0.14,0.14,0.2
