alpha,max_iter,penalty,type,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.0001,100,l2,Train,0.3,0.15,0.18,0.26,0.26,0.16,0.29,0.27,0.27,0.29
0.0001,100,l2,Test,0.22,0.16,0.17,0.18,0.2,0.15,0.22,0.22,0.21,0.28
0.0001,100,l1,Train,0.37,0.51,0.43,0.43,0.56,0.41,0.38,0.57,0.25,0.38
0.0001,100,l1,Test,0.23,0.3,0.21,0.25,0.3,0.22,0.2,0.28,0.16,0.17
0.0001,100,elasticnet,Train,0.2,0.15,0.21,0.32,0.25,0.19,0.23,0.29,0.24,0.28
0.0001,100,elasticnet,Test,0.18,0.15,0.15,0.24,0.22,0.16,0.17,0.21,0.19,0.21
0.0001,500,l2,Train,0.29,0.2,0.28,0.25,0.21,0.28,0.22,0.18,0.16,0.27
0.0001,500,l2,Test,0.24,0.17,0.18,0.19,0.16,0.2,0.15,0.16,0.15,0.19
0.0001,500,l1,Train,0.35,0.43,0.43,0.41,0.58,0.54,0.41,0.52,0.48,0.35
0.0001,500,l1,Test,0.21,0.22,0.22,0.23,0.31,0.22,0.21,0.26,0.22,0.22
0.0001,500,elasticnet,Train,0.26,0.19,0.21,0.31,0.31,0.26,0.28,0.31,0.29,0.22
0.0001,500,elasticnet,Test,0.23,0.18,0.19,0.24,0.26,0.21,0.2,0.23,0.21,0.18
0.0001,1000,l2,Train,0.2,0.17,0.18,0.25,0.18,0.22,0.28,0.23,0.17,0.28
0.0001,1000,l2,Test,0.17,0.16,0.16,0.18,0.19,0.18,0.2,0.18,0.16,0.2
0.0001,1000,l1,Train,0.49,0.49,0.57,0.47,0.44,0.47,0.4,0.32,0.58,0.48
0.0001,1000,l1,Test,0.3,0.23,0.2,0.27,0.24,0.21,0.25,0.2,0.24,0.28
0.0001,1000,elasticnet,Train,0.34,0.33,0.24,0.16,0.26,0.24,0.24,0.26,0.27,0.28
0.0001,1000,elasticnet,Test,0.26,0.22,0.15,0.17,0.21,0.18,0.15,0.2,0.22,0.21
0.001,100,l2,Train,0.17,0.16,0.15,0.18,0.25,0.2,0.18,0.15,0.14,0.16
0.001,100,l2,Test,0.15,0.15,0.14,0.15,0.2,0.17,0.15,0.15,0.14,0.15
0.001,100,l1,Train,0.28,0.31,0.42,0.16,0.36,0.28,0.3,0.16,0.27,0.33
